City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Saint-Pierre,RE,2020-06-17 00:31:08,-21.34,55.48,64.4,82,75,10.29
136,Chokurdakh,RU,2020-06-17 00:31:09,70.63,147.92,81.09,30,100,10.78
137,Avarua,CK,2020-06-17 00:31:09,-21.21,-159.78,75.2,57,0,8.05
138,Tura,IN,2020-06-17 00:31:09,25.52,90.22,75.54,97,100,3.58
139,Qasigiannguit,GL,2020-06-17 00:31:09,68.82,-51.19,39.2,87,94,9.17
140,Elwood,AU,2020-06-17 00:30:17,-37.88,144.98,55.99,87,90,3.04
141,Phan Thiet,VN,2020-06-17 00:26:43,10.93,108.1,79.36,83,95,2.91
142,Ishurdi,BD,2020-06-17 00:31:10,24.13,89.08,84.72,77,100,5.28
143,Plouzane,FR,2020-06-17 00:31:10,48.38,-4.62,53.6,93,20,4.7
144,Rawson,AR,2020-06-17 00:28:25,-43.3,-65.1,51.69,50,41,6.11
145,Abu Samrah,SY,2020-06-17 00:31:10,35.3,37.18,68.05,58,0,11.92
146,Lichinga,MZ,2020-06-17 00:31:11,-13.31,35.24,47.73,89,4,7.11
147,Druzhba,UA,2020-06-17 00:31:11,52.04,33.95,61.03,85,7,11.45
148,Saint-Philippe,RE,2020-06-17 00:31:11,-21.36,55.77,64.4,82,75,10.29
149,Tarbolton,GB,2020-06-17 00:31:11,55.51,-4.49,60.01,93,75,3.36
150,Najran,SA,2020-06-17 00:30:51,17.49,44.13,77.0,23,20,3.27
151,Jamestown,US,2020-06-17 00:26:31,42.1,-79.24,71.01,49,1,9.17
152,Anamur,TR,2020-06-17 00:30:55,36.08,32.84,75.61,58,6,5.03
153,Menongue,AO,2020-06-17 00:31:12,-14.66,17.69,49.46,71,0,4.07
154,Severo-Yeniseyskiy,RU,2020-06-17 00:31:12,60.37,93.04,50.18,63,100,7.34
155,Gigmoto,PH,2020-06-17 00:31:13,13.78,124.39,85.17,68,100,4.32
156,Chany,RU,2020-06-17 00:31:13,55.31,76.76,54.39,80,0,4.5
157,Takoradi,GH,2020-06-17 00:31:13,4.88,-1.76,78.55,88,100,12.44
158,Eloy,US,2020-06-17 00:31:13,32.76,-111.55,104.0,5,1,20.8
159,Praia Da Vitoria,PT,2020-06-17 00:31:14,38.73,-27.07,64.4,82,40,7.65
160,Richards Bay,ZA,2020-06-17 00:31:14,-28.78,32.04,60.67,80,96,2.86
161,Soe,ID,2020-06-17 00:31:14,-9.86,124.28,72.99,77,5,10.02
162,Sal Rei,CV,2020-06-17 00:31:14,16.18,-22.92,78.8,74,0,13.87
163,Katsuura,JP,2020-06-17 00:31:14,35.13,140.3,79.0,65,75,5.82
164,Kruisfontein,ZA,2020-06-17 00:31:15,-34.0,24.73,49.59,90,0,4.52
165,Thompson,CA,2020-06-17 00:30:02,55.74,-97.86,80.6,28,75,9.17
166,Punta Alta,AR,2020-06-17 00:31:15,-38.88,-62.07,50.61,71,100,6.38
167,Grand Gaube,MU,2020-06-17 00:31:15,-20.01,57.66,69.8,83,40,13.87
168,Touros,BR,2020-06-17 00:31:15,-5.2,-35.46,75.2,88,40,4.7
169,Burnie,AU,2020-06-17 00:30:51,-41.07,145.92,52.0,63,20,3.0
170,Rongai,KE,2020-06-17 00:31:16,-0.17,35.86,55.78,82,98,3.91
171,Huarmey,PE,2020-06-17 00:31:16,-10.07,-78.15,62.92,86,15,11.32
172,Krymsk,RU,2020-06-17 00:31:16,44.93,37.99,66.99,100,8,6.71
173,Port Lincoln,AU,2020-06-17 00:31:16,-34.73,135.87,57.99,69,4,8.5
174,Kaitangata,NZ,2020-06-17 00:31:17,-46.28,169.85,51.01,76,100,18.01
175,Airai,TL,2020-06-17 00:31:17,-8.93,125.41,67.1,76,22,6.38
176,Port Blair,IN,2020-06-17 00:31:03,11.67,92.75,81.27,82,100,12.24
177,Quatre Cocos,MU,2020-06-17 00:31:00,-20.21,57.76,69.8,83,40,13.87
178,Simao,CN,2020-06-17 00:31:17,22.79,100.97,68.88,93,98,3.38
179,Cayenne,GF,2020-06-17 00:31:18,4.93,-52.33,77.0,100,90,4.59
180,Ibra,OM,2020-06-17 00:31:18,22.69,58.53,82.49,53,72,2.44
181,Sarangani,PH,2020-06-17 00:31:18,5.4,125.46,83.79,67,12,1.45
182,Hambantota,LK,2020-06-17 00:31:18,6.12,81.12,81.45,82,95,13.53
183,Yumen,CN,2020-06-17 00:31:18,40.28,97.2,78.37,17,0,3.85
184,Itarema,BR,2020-06-17 00:28:50,-2.92,-39.92,77.79,85,16,11.79
185,Marquette,US,2020-06-17 00:31:19,46.53,-87.63,82.0,39,5,16.11
186,Valparaiso,CL,2020-06-17 00:28:30,-33.04,-71.63,55.4,87,75,4.7
187,Vao,NC,2020-06-17 00:30:53,-22.67,167.48,72.93,80,14,18.03
188,Genc,TR,2020-06-17 00:31:19,38.75,40.56,64.04,53,0,4.45
189,Lasa,IT,2020-06-17 00:31:19,46.62,10.7,55.0,100,90,0.29
190,Bjornevatn,NO,2020-06-17 00:31:20,69.67,29.98,42.8,70,20,12.75
191,Boryslav,UA,2020-06-17 00:31:20,49.29,23.43,63.0,84,100,4.36
192,Jumla,NP,2020-06-17 00:30:52,29.27,82.18,63.36,66,95,0.96
193,Srednekolymsk,RU,2020-06-17 00:31:21,67.45,153.68,84.78,22,86,6.87
194,Ballina,AU,2020-06-17 00:31:21,-28.87,153.57,64.4,82,75,9.17
195,Esperance,AU,2020-06-17 00:31:21,-33.87,121.9,55.4,36,89,23.04
196,Broken Hill,AU,2020-06-17 00:30:53,-31.95,141.43,57.2,67,0,10.29
197,Grimshaw,CA,2020-06-17 00:31:22,56.18,-117.6,59.0,77,90,5.82
198,Stodolishche,RU,2020-06-17 00:31:22,54.19,32.65,60.06,94,0,5.82
199,Coquimbo,CL,2020-06-17 00:27:08,-29.95,-71.34,57.2,76,75,12.75
200,Atambua,ID,2020-06-17 00:31:22,-9.11,124.89,80.06,59,0,6.78
201,Presidencia Roque Saenz Pena,AR,2020-06-17 00:31:22,-26.79,-60.44,78.01,58,56,5.01
202,Baruun-Urt,MN,2020-06-17 00:31:23,46.68,113.28,77.43,29,16,5.06
203,Bubaque,GW,2020-06-17 00:31:23,11.28,-15.83,80.8,85,64,8.21
204,Marystown,CA,2020-06-17 00:31:23,47.17,-55.15,50.95,68,34,14.74
205,Atherton,GB,2020-06-17 00:31:23,53.52,-2.49,59.0,99,9,1.01
206,Sobolevo,RU,2020-06-17 00:30:43,54.43,31.9,60.6,95,0,4.27
207,Kutum,SD,2020-06-17 00:31:24,14.2,24.67,79.07,17,87,7.83
208,Ponta Do Sol,PT,2020-06-17 00:31:24,32.67,-17.1,68.0,94,40,3.36
209,Vestmannaeyjar,IS,2020-06-17 00:31:24,63.44,-20.27,46.83,80,51,7.94
210,Greece,US,2020-06-17 00:26:57,43.21,-77.69,69.8,40,1,9.17
211,Lata,PT,2020-06-17 00:31:25,40.16,-8.33,62.01,79,99,2.01
212,Zyryanka,RU,2020-06-17 00:31:25,65.75,150.85,86.99,20,77,10.58
213,College,US,2020-06-17 00:30:10,64.86,-147.8,75.2,36,75,6.93
214,Tautira,PF,2020-06-17 00:31:26,-17.73,-149.15,82.4,78,40,17.22
215,Old Saybrook,US,2020-06-17 00:31:26,41.29,-72.38,64.99,76,97,7.11
216,Linxia,CN,2020-06-17 00:31:26,35.6,103.21,62.55,53,76,3.85
217,Yar-Sale,RU,2020-06-17 00:31:27,66.83,70.83,42.17,62,0,12.15
218,Cascais,PT,2020-06-17 00:31:27,38.7,-9.42,63.0,87,1,6.24
219,Te Anau,NZ,2020-06-17 00:30:57,-45.42,167.72,50.09,86,100,5.75
220,Nantucket,US,2020-06-17 00:26:56,41.28,-70.1,62.01,72,1,10.29
221,Qui Nhon,VN,2020-06-17 00:31:27,13.77,109.23,77.86,86,100,5.64
222,Akureyri,IS,2020-06-17 00:31:28,65.68,-18.09,46.4,75,75,133.55
223,Prudentopolis,BR,2020-06-17 00:31:28,-25.21,-50.98,56.82,98,1,1.23
224,Anadyr,RU,2020-06-17 00:30:09,64.75,177.48,68.0,37,0,8.95
225,Hamada,JP,2020-06-17 00:31:28,34.88,132.08,71.6,68,100,3.36
226,Conde,BR,2020-06-17 00:31:28,-7.26,-34.91,73.4,100,20,4.7
227,Makokou,GA,2020-06-17 00:31:29,0.57,12.86,70.09,96,95,2.66
228,Oistins,BB,2020-06-17 00:31:29,13.07,-59.53,80.6,83,40,20.8
229,Praxedis Guerrero,MX,2020-06-17 00:31:29,31.37,-106.02,96.8,15,40,5.82
230,Boundiali,CI,2020-06-17 00:31:29,9.52,-6.49,72.0,87,17,3.67
231,Mar Del Plata,AR,2020-06-17 00:27:51,-38.0,-57.56,59.0,100,90,4.7
232,Demyansk,RU,2020-06-17 00:31:30,57.64,32.47,63.86,93,29,4.12
233,Knyaze-Volkonskoye,RU,2020-06-17 00:31:30,48.46,135.46,51.8,76,90,11.18
234,Half Moon Bay,US,2020-06-17 00:31:30,37.46,-122.43,71.01,72,20,19.46
235,Cidreira,BR,2020-06-17 00:31:30,-30.18,-50.21,63.82,94,31,15.17
236,Fort Morgan,US,2020-06-17 00:31:23,40.25,-103.8,93.2,10,1,16.11
237,Mayumba,GA,2020-06-17 00:31:31,-3.43,10.66,72.16,93,89,5.5
238,Tiznit,MA,2020-06-17 00:31:31,29.58,-9.5,66.67,52,6,1.12
239,Sur,OM,2020-06-17 00:31:31,22.57,59.53,89.87,48,40,6.29
240,Carutapera,BR,2020-06-17 00:31:31,-1.2,-46.02,75.69,92,0,6.49
241,Chuy,UY,2020-06-17 00:31:31,-33.7,-53.46,61.38,93,100,8.63
242,Ahuimanu,US,2020-06-17 00:31:32,21.44,-157.84,91.4,46,90,14.99
243,Kununurra,AU,2020-06-17 00:31:32,-15.77,128.73,75.2,23,0,10.29
244,Zaria,NG,2020-06-17 00:31:33,11.11,7.72,76.23,82,100,11.3
245,Nanortalik,GL,2020-06-17 00:31:33,60.14,-45.24,37.27,84,33,10.63
246,East London,ZA,2020-06-17 00:31:33,-33.02,27.91,58.53,73,0,8.95
247,Hagere Selam,ET,2020-06-17 00:31:33,6.48,38.52,47.16,100,11,2.64
248,Coxim,BR,2020-06-17 00:31:34,-18.51,-54.76,69.93,59,0,5.23
249,Dikson,RU,2020-06-17 00:29:53,73.51,80.55,31.93,94,100,14.12
250,Trinidad,BO,2020-06-17 00:27:38,-14.83,-64.9,74.48,74,90,2.62
251,Salalah,OM,2020-06-17 00:31:34,17.02,54.09,84.2,89,75,1.12
252,Portland,US,2020-06-17 00:27:06,45.52,-122.68,64.99,48,40,5.82
253,Yuancheng,CN,2020-06-17 00:31:34,36.65,107.79,62.24,72,99,17.6
254,Havre-Saint-Pierre,CA,2020-06-17 00:31:35,50.23,-63.6,60.8,59,1,6.93
255,Kahului,US,2020-06-17 00:29:07,20.89,-156.47,86.0,48,40,18.34
256,Faanui,PF,2020-06-17 00:31:35,-16.48,-151.75,80.24,78,100,6.29
257,Qaqortoq,GL,2020-06-17 00:31:35,60.72,-46.03,41.0,80,1,10.29
258,Meulaboh,ID,2020-06-17 00:30:15,4.14,96.13,79.47,72,87,4.36
259,Constitucion,CL,2020-06-17 00:30:50,-35.33,-72.42,54.88,93,100,8.97
260,Monywa,MM,2020-06-17 00:31:36,22.12,95.13,83.12,71,100,14.07
261,Lyuban,BY,2020-06-17 00:31:36,52.8,28.0,61.86,95,0,7.38
262,Lebanon,US,2020-06-17 00:28:51,36.21,-86.29,77.0,50,1,8.05
263,Dreieich,DE,2020-06-17 00:31:37,50.0,8.7,64.99,100,99,3.36
264,Marsa Matruh,EG,2020-06-17 00:31:37,31.35,27.25,72.16,79,0,20.76
265,Piet Retief,ZA,2020-06-17 00:31:37,-27.01,30.81,42.6,92,100,3.89
266,Chiang Khong,TH,2020-06-17 00:31:37,20.26,100.4,66.99,99,100,1.01
267,Sembe,CG,2020-06-17 00:31:37,1.65,14.58,70.81,92,89,1.66
268,Cooma,AU,2020-06-17 00:31:38,-36.23,149.13,42.8,87,90,8.05
269,Leningradskiy,RU,2020-06-17 00:31:38,69.38,178.42,54.03,56,0,10.38
270,Outjo,NA,2020-06-17 00:31:38,-20.12,16.15,54.34,40,0,13.58
271,Uyskoye,RU,2020-06-17 00:31:38,54.38,60.0,56.88,79,5,4.88
272,Hanover,DE,2020-06-17 00:31:38,52.37,9.73,61.0,100,98,1.12
273,Yerbogachen,RU,2020-06-17 00:31:39,61.28,108.01,61.2,49,1,4.97
274,Saint-Francois,FR,2020-06-17 00:31:39,46.42,3.91,55.0,81,90,3.76
275,Saint Stephen,GB,2020-06-17 00:31:39,50.33,-4.9,57.99,93,79,6.93
276,Port Macquarie,AU,2020-06-17 00:31:39,-31.43,152.92,64.0,67,0,8.05
277,Sao Jose Da Coroa Grande,BR,2020-06-17 00:31:39,-8.9,-35.15,76.28,86,31,12.33
278,Beringovskiy,RU,2020-06-17 00:31:40,63.05,179.32,46.94,71,50,4.43
279,Chandvad,IN,2020-06-17 00:31:40,20.33,74.25,73.44,92,97,9.35
280,Varzea Da Palma,BR,2020-06-17 00:31:40,-17.6,-44.73,65.08,81,9,4.41
281,Olkhovka,RU,2020-06-17 00:31:40,53.21,60.61,58.15,63,38,6.82
282,Bengkulu,ID,2020-06-17 00:31:40,-3.8,102.27,79.11,80,7,4.12
283,Santa Isabel,BR,2020-06-17 00:31:41,-23.32,-46.22,66.2,88,75,3.36
284,Puerto Madero,MX,2020-06-17 00:31:41,14.72,-92.42,82.4,88,75,5.82
285,Port-Gentil,GA,2020-06-17 00:31:41,-0.72,8.78,75.2,94,90,10.29
286,Vila Velha,BR,2020-06-17 00:31:11,-20.33,-40.29,68.0,94,90,10.29
287,Ixtapa,MX,2020-06-17 00:31:41,20.7,-105.2,82.4,74,40,10.29
288,Campo Formoso,BR,2020-06-17 00:31:42,-10.51,-40.32,65.91,92,70,11.56
289,Lenine,UA,2020-06-17 00:31:42,45.3,35.78,65.97,85,100,5.44
290,Ambilobe,MG,2020-06-17 00:31:42,-13.2,49.05,65.41,77,0,3.69
291,Kokopo,PG,2020-06-17 00:31:42,-4.35,152.26,82.51,75,69,1.1
292,Makhinjauri,GE,2020-06-17 00:31:43,41.67,41.69,71.6,78,40,6.93
293,Dongsheng,CN,2020-06-17 00:31:43,39.82,109.98,60.96,71,100,12.53
294,Hualmay,PE,2020-06-17 00:31:43,-11.1,-77.61,62.29,85,15,13.38
295,Zonguldak,TR,2020-06-17 00:31:43,41.25,31.83,59.67,79,0,5.46
296,Biak,ID,2020-06-17 00:31:43,-0.91,122.88,81.68,74,87,8.79
297,Trincomalee,LK,2020-06-17 00:31:44,8.57,81.23,83.08,76,98,18.28
298,Taoudenni,ML,2020-06-17 00:31:44,22.68,-3.98,96.8,10,0,14.72
299,Ust-Nera,RU,2020-06-17 00:31:44,64.57,143.2,74.52,28,52,3.31
300,Nsanje,MW,2020-06-17 00:31:44,-16.92,35.26,57.47,95,0,2.28
301,Valasske Klobouky,CZ,2020-06-17 00:31:44,49.14,18.01,61.0,94,100,3.83
302,Yulara,AU,2020-06-17 00:30:20,-25.24,130.99,51.8,34,0,11.41
303,Avera,US,2020-06-17 00:31:45,33.19,-82.53,66.2,82,90,5.82
304,Makakilo City,US,2020-06-17 00:31:45,21.35,-158.09,84.2,54,75,9.17
305,Bandarbeyla,SO,2020-06-17 00:31:45,9.49,50.81,84.85,54,100,25.64
