City_ID,City,Lat,Lng,Max Temp,Weather Description,Rain,Snow,Humidity,Cloudiness,Wind Speed,Country,Date
75,The Valley,18.22,-63.06,84.2,scattered clouds,0.0,0,74,40,10.29,AI,2020-06-19 01:46:01
76,Salalah,17.02,54.09,84.2,broken clouds,0.0,0,83,75,3.36,OM,2020-06-19 01:47:59
77,Camacha,33.08,-16.33,68.0,few clouds,0.0,0,88,20,10.29,PT,2020-06-19 01:47:59
78,Severo-Kurilsk,50.68,156.12,44.17,overcast clouds,0.0,0,85,98,12.55,RU,2020-06-19 01:48:00
79,Hofn,64.25,-15.21,49.06,clear sky,0.0,0,82,0,0.34,IS,2020-06-19 01:45:58
80,Vaini,-21.2,-175.2,73.4,overcast clouds,0.0,0,88,90,13.87,TO,2020-06-19 01:48:00
81,Klaksvik,62.23,-6.59,48.2,broken clouds,0.0,0,100,73,4.7,FO,2020-06-19 01:45:24
82,Mafinga,-7.25,35.07,60.4,clear sky,0.0,0,75,5,2.8,TZ,2020-06-19 01:48:00
83,Le Port,-20.94,55.29,71.6,overcast clouds,0.0,0,64,90,18.34,RE,2020-06-19 01:48:01
84,Kysyl-Syr,63.9,122.76,77.79,clear sky,0.0,0,40,0,4.63,RU,2020-06-19 01:48:01
85,Upernavik,72.79,-56.15,35.4,clear sky,0.0,0,85,0,10.58,GL,2020-06-19 01:48:01
86,Almunecar,36.73,-3.69,66.0,clear sky,0.0,0,87,0,5.97,ES,2020-06-19 01:48:01
87,Zarichne,51.81,26.13,60.94,scattered clouds,0.0,0,95,35,5.7,UA,2020-06-19 01:48:02
88,Codrington,-38.27,141.97,59.5,scattered clouds,0.0,0,60,44,20.2,AU,2020-06-19 01:48:02
89,Wukari,7.85,9.78,72.0,overcast clouds,0.0,0,97,100,2.86,NG,2020-06-19 01:48:02
90,Mataura,-46.19,168.86,46.62,clear sky,0.0,0,68,0,5.28,NZ,2020-06-19 01:48:02
91,Belyy Yar,53.6,91.39,62.6,scattered clouds,0.0,0,72,40,11.18,RU,2020-06-19 01:48:02
